Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Different Received Data Packets,Min Transmission Delay [ms],Max Transmission Delay [ms],Median Transmission Delay [ms],Variance Transmission Delay [ms],Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,1,90,1,90,0,0,0,0,0,0,0,0,8,720,8,720,0,0,16,1440,16,1440,0,0,0,0,0,0,0,0,8,720,8,720,0,0,0,14,50,27,117.938,59996,3,3,59586,413,24,0,59583,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1980,22,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1980,22,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1980,22,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
4,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,15,1350,15,1350,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,66,112,91,218.472,59996,3,3,59586,413,18,0,59583,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1980,22,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
6,1,90,1,90,0,0,0,0,0,0,0,0,7,630,7,630,0,0,15,1350,15,1350,0,0,1,90,1,90,0,0,6,540,6,540,0,0,1,66,112,93,290.408,59996,3,3,59586,413,21,0,59583,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1980,22,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
8,1,90,1,90,0,0,0,0,0,0,0,0,8,720,8,720,0,0,16,1440,16,1440,0,0,1,90,1,90,0,0,7,630,7,630,0,0,1,61,112,91,312.859,59996,3,3,59586,413,24,0,59583,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1980,22,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
