Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Different Received Data Packets,Min Transmission Delay [ms],Max Transmission Delay [ms],Median Transmission Delay [ms],Variance Transmission Delay [ms],Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,1,90,1,90,0,0,0,0,0,0,0,0,7,630,7,630,0,0,25,2250,25,2250,0,0,0,0,0,0,0,0,7,630,7,630,0,0,0,9,42,21,107.673,59996,3,3,59586,413,21,0,59583,0
1,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,127,162,138,157.84,59996,3,3,59586,413,15,0,59583,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
4,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,60,86,71,93.76,59996,3,3,59586,413,15,0,59583,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
6,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,60,93,74,144.139,59996,3,3,59586,413,18,0,59583,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
8,1,90,1,90,0,0,0,0,0,0,0,0,7,630,7,630,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,6,540,6,540,0,0,1,47,93,71,212.408,59996,3,3,59586,413,21,0,59583,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
11,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,28,2520,28,2520,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,5,42,21,157.04,59996,3,3,59586,413,15,0,59583,0
12,1,90,1,90,0,0,0,0,0,0,0,0,4,360,4,360,0,0,28,2520,28,2520,0,0,1,90,1,90,0,0,3,270,3,270,0,0,1,103,138,129,176.5,59996,3,3,59586,413,12,0,59583,0
13,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,103,149,135,263.806,59996,3,3,59586,413,18,0,59583,0
14,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,127,138,132,30.25,60000,0,0,59583,416,6,0,59583,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
19,1,90,1,90,0,0,0,0,0,0,0,0,7,630,7,630,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,6,540,6,540,0,0,1,47,86,68,159.551,59996,3,3,59586,413,21,0,59583,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
21,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,60,86,68,79.36,59996,3,3,59586,413,15,0,59583,0
22,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,5,30,19,78,59996,3,3,59586,413,18,0,59583,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
25,0,0,0,0,0,0,0,0,0,0,0,0,8,720,8,720,0,0,26,2340,26,2340,0,0,0,0,0,0,0,0,7,630,7,630,0,0,1,5,42,19,127.984,60000,0,0,59583,416,24,0,59583,0
26,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,29,2610,29,2610,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,5,38,24,121.806,59996,3,3,59586,413,18,0,59583,0
27,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,142,162,152,100,60000,0,0,59583,416,6,0,59583,0
28,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,34,38,36,4,60000,0,0,59583,416,6,0,59583,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
33,1,90,1,90,0,0,0,0,0,0,0,0,4,360,4,360,0,0,28,2520,28,2520,0,0,1,90,1,90,0,0,3,270,3,270,0,0,1,71,103,83,136.5,59996,3,3,59586,413,12,0,59583,0
34,1,90,1,90,0,0,0,0,0,0,0,0,3,270,3,270,0,0,28,2520,28,2520,0,0,1,90,1,90,0,0,2,180,2,180,0,0,1,93,127,114,196.222,59996,3,3,59586,413,9,0,59583,0
35,1,90,1,90,0,0,0,0,0,0,0,0,4,360,4,360,0,0,28,2520,28,2520,0,0,1,90,1,90,0,0,3,270,3,270,0,0,1,132,162,143,130.688,59996,3,3,59586,413,12,0,59583,0
36,1,90,1,90,0,0,0,0,0,0,0,0,2,180,2,180,0,0,29,2610,29,2610,0,0,1,90,1,90,0,0,1,90,1,90,0,0,1,142,149,145,12.25,59996,3,3,59586,413,6,0,59583,0
37,0,0,0,0,0,0,0,0,0,0,0,0,3,270,3,270,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,2,180,2,180,0,0,1,21,30,26,13.5556,60000,0,0,59583,416,9,0,59583,0
38,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,114,149,132,146.96,59996,3,3,59586,413,15,0,59583,0
39,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,34,64,56,146.24,59996,3,3,59586,413,15,0,59583,0
40,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,93,127,110,289,60000,0,0,59583,416,6,0,59583,0
41,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,127,127,0,60000,0,0,59583,416,3,0,59583,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
44,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,13,13,0,60000,0,0,59583,416,3,0,59583,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
47,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,127,162,138,144.96,59996,3,3,59586,413,15,0,59583,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
50,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,86,93,89,12.25,60000,0,0,59583,416,6,0,59583,0
51,0,0,0,0,0,0,0,0,0,0,0,0,3,270,3,270,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,2,180,2,180,0,0,1,80,103,93,88.6667,60000,0,0,59583,416,9,0,59583,0
52,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,47,60,53,42.25,60000,0,0,59583,416,6,0,59583,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
55,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,28,2520,28,2520,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,64,93,71,106.96,59996,3,3,59586,413,15,0,59583,0
56,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162,162,162,0,60000,0,0,59583,416,3,0,59583,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
59,0,0,0,0,0,0,0,0,0,0,0,0,3,270,3,270,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,2,180,2,180,0,0,1,80,93,86,28.2222,60000,0,0,59583,416,9,0,59583,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
65,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,34,64,47,139.04,59996,3,3,59586,413,15,0,59583,0
66,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,64,93,71,124.24,59996,3,3,59586,413,15,0,59583,0
67,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,5,42,25,209.139,59996,3,3,59586,413,18,0,59583,0
68,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,5,26,17,51.04,59996,3,3,59586,413,15,0,59583,0
69,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,30,30,0,60000,0,0,59583,416,3,0,59583,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2790,31,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
