ID,x,y,z,Sender,Receiver,Interference Sender,Interference Receiver
0,0,0,0,999,,,
1,100,0,0,,,,
2,200,0,0,,,,
3,300,0,0,,,,
4,400,0,0,,,,
5,500,0,0,,,,
6,600,0,0,,,,
7,700,0,0,,,,
8,800,0,0,,,,
9,900,0,0,,,,
10,1000,0,0,,,,
11,1100,0,0,,,,
12,1200,0,0,,,,
13,1300,0,0,,,,
14,1400,0,0,,,,
15,1500,0,0,,,,
16,1600,0,0,,,,
17,1700,0,0,,,,
18,1800,0,0,,,,
19,1900,0,0,,,,
20,2000,0,0,,,,
21,2100,0,0,,,,
22,2200,0,0,,,,
23,2300,0,0,,,,
24,2400,0,0,,,,
25,2500,0,0,,,,
26,2600,0,0,,,,
27,2700,0,0,,,,
28,2800,0,0,,,,
29,2900,0,0,,,,
30,3000,0,0,,,,
31,3100,0,0,,,,
32,3200,0,0,,,,
33,3300,0,0,,,,
34,3400,0,0,,,,
35,3500,0,0,,,,
36,3600,0,0,,,,
37,3700,0,0,,,,
38,3800,0,0,,,,
39,3900,0,0,,,,
40,4000,0,0,,,,
41,4100,0,0,,,,
42,4200,0,0,,,,
43,4300,0,0,,,,
44,4400,0,0,,,,
45,4500,0,0,,,,
46,4600,0,0,,,,
47,4700,0,0,,,,
48,4800,0,0,,,,
49,4900,0,0,,,,
50,5000,0,0,,,,
51,5100,0,0,,,,
52,5200,0,0,,,,
53,5300,0,0,,,,
54,5400,0,0,,,,
55,5500,0,0,,,,
56,5600,0,0,,,,
57,5700,0,0,,,,
58,5800,0,0,,,,
59,5900,0,0,,,,
60,6000,0,0,,,,
61,6100,0,0,,,,
62,6200,0,0,,,,
63,6300,0,0,,,,
64,6400,0,0,,,,
65,6500,0,0,,,,
66,6600,0,0,,,,
67,6700,0,0,,,,
68,6800,0,0,,,,
69,6900,0,0,,,,
70,7000,0,0,,,,
71,7100,0,0,,,,
72,7200,0,0,,,,
73,7300,0,0,,,,
74,7400,0,0,,,,
75,7500,0,0,,,,
76,7600,0,0,,,,
77,7700,0,0,,,,
78,7800,0,0,,,,
79,7900,0,0,,,,
80,8000,0,0,,,,
81,8100,0,0,,,,
82,8200,0,0,,,,
83,8300,0,0,,,,
84,8400,0,0,,,,
85,8500,0,0,,,,
