simFile,SimRuns,Protocol,simName,nodeCfg,Mobility-Model,Seed-Value,packetSize [Bytes],numPackets,SendIntervall [ms],simEndTime [s],Transmit Power [dBm],channel Nr,interferencePacketSize [Bytes],interferenceSendIntervall [ms],Interference Transmit Power [dBm],Interfence Channel,MPL Proactive,MPL Reactive,MPL Seed-Lifetime [Min],MPL Data Imin [ms],MPL Data Imax,MPL Data K,MPL Data Expirations,MPL Control Imin [ms],MPL Control Imax,MPL Control K,MPL Control Expirations,Flooding Hops,EnergyModel Enable,InitialBatteryEnergy [Joules]
Generic_Model,5,Mpl,Line_3_Mpl_2D1K2C2K,./examples/multicast/Line_3.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,2,3000,3,2,2,,TRUE,50000000
Generic_Model,5,Mpl,Line_3_Mpl_2D2K2C1K,./examples/multicast/Line_3.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,2,2,3000,3,1,2,,TRUE,50000000
Generic_Model,5,Mpl,Line_3_Mpl_2D2K2C2K,./examples/multicast/Line_3.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,2,2,3000,3,2,2,,TRUE,50000000
Generic_Model,5,Mpl,Line_10_Mpl_2D1K2C2K,./examples/multicast/Line_10.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,2,3000,3,1,2,,TRUE,50000000
Generic_Model,5,Mpl,Line_10_Mpl_2D2K2C1K,./examples/multicast/Line_10.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,2,2,3000,3,2,2,,TRUE,50000000
Generic_Model,5,Mpl,Line_10_Mpl_2D2K2C2K,./examples/multicast/Line_10.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,2,2,3000,3,1,2,,TRUE,50000000
Generic_Model,5,Mpl,Square_2x2_Mpl_2D1K2C2K,./examples/multicast/Square_2x2.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,2,3000,3,2,2,,TRUE,50000000
Generic_Model,5,Mpl,Square_2x2_Mpl_2D2K2C1K,./examples/multicast/Square_2x2.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,2,2,3000,3,1,2,,TRUE,50000000
Generic_Model,5,Mpl,Square_2x2_Mpl_2D2K2C2K,./examples/multicast/Square_2x2.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,2,2,3000,3,2,2,,TRUE,50000000
Generic_Model,5,Mpl,Square_5x5_Mpl_2D1K2C2K,./examples/multicast/Square_5x5.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,2,3000,3,1,2,,TRUE,50000000
